Breed,count,mental_mean,mental_std,mental_sem,histogram,morbidity
airedale_terrier,34,1.9977879587191576,4.623290065546605,0.7928877049446598,"[0.         0.         0.02941176 0.02941176 0.08823529 0.17647059
 0.47058824 0.20588235 0.        ]",1676.0
alaskan_malamute,42,-0.6203492411866092,6.499999719065943,1.0029717314045312,"[0.02380952 0.02380952 0.         0.0952381  0.16666667 0.11904762
 0.5        0.07142857 0.        ]",1436.0
american_akita,63,0.641819013783901,4.803425778191418,0.6051747642976855,"[0.         0.         0.03174603 0.01587302 0.17460317 0.22222222
 0.46031746 0.0952381  0.        ]",1555.0
american_staffordshire_terrier,141,1.2529991634165454,4.426408792918694,0.3727708668382209,"[0.         0.0070922  0.0070922  0.0070922  0.12765957 0.30496454
 0.37588652 0.17021277 0.        ]",1789.0
australian_kelpie,69,-0.13786260731359573,5.711065807811697,0.6875315293023788,"[0.         0.         0.08695652 0.04347826 0.11594203 0.17391304
 0.46376812 0.11594203 0.        ]",1470.0
australian_shepherd,176,0.5980534395405829,4.5784746554770965,0.3451155123720281,"[0.00568182 0.         0.00568182 0.02840909 0.16477273 0.29545455
 0.36931818 0.125      0.00568182]",1426.0
australian_terrier,72,-0.6434414613176275,5.000673059858528,0.5893349718538079,"[0.         0.01388889 0.02777778 0.06944444 0.15277778 0.27777778
 0.40277778 0.05555556 0.        ]",1420.0
beagle,60,-0.32126514535217043,4.598224718688671,0.5936282585866836,"[0.         0.         0.         0.11666667 0.15       0.3
 0.35       0.08333333 0.        ]",1494.0
bearded_collie,52,0.6856902850958988,4.801110609178993,0.6657942492526542,"[0.         0.         0.03846154 0.03846154 0.07692308 0.32692308
 0.40384615 0.11538462 0.        ]",1362.0
beauceron,32,-1.2252887264375305,5.945035396514254,1.050943710817321,[0.      0.03125 0.0625  0.0625  0.15625 0.21875 0.4375  0.03125 0.     ],1805.0
belgian_shepherd_groenendael,59,-1.2494009848854335,5.861674000070847,0.7631249545938333,"[0.         0.03389831 0.03389831 0.10169492 0.16949153 0.33898305
 0.20338983 0.11864407 0.        ]",1457.0
